Similar to EAST CHINA NORMAL UNIVERSITY (N=9989)
 421. OKLAHOMA STATE UNIVERSITY SYSTEM | sim=0.8181
 422. UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES | sim=0.8177
 423. CHINA MEDICAL UNIVERSITY TAIWAN | sim=0.8174
 424. UNIVERSITY OF TURIN | sim=0.8171
 425. UNIVERSITY OF TASMANIA | sim=0.8168
 426. AIX-MARSEILLE UNIVERSITE | sim=0.8163
 427. UNIVERSITY OF SYDNEY | sim=0.8159
 428. HOKKAIDO UNIVERSITY | sim=0.8158
 429. GUANGXI UNIVERSITY | sim=0.8158
 430. UNIVERSIDADE DO MINHO | sim=0.8157
